rT ~ Rm * exp(-1/2 * ((T - Tm)/To)^2),,,,,,,,,
,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,Rm,Tm,To,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Lamb 1992,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,0.199,26.1,9.9,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamb 1992,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,0.19,26.3,10.3,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporleder et al. 2016,Lepidoptera,Gelechiidae,Symmetrischema,tangolias,larva,0.0476,28.58,10.5,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporleder et al. 2016,Lepidoptera,Gelechiidae,Symmetrischema,tangolias,pupa,0.099,31.8,11.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kontodimas et al. 2004,Coleoptera,Coccinellidae,Nephus,includens,all,0.0441,34.9999,11.022,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kontodimas et al. 2004,Coleoptera,Coccinellidae,Nephus,bisignatus,all,0.0338,32.4999,10.7097,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,egg,0.2468,30.9122,9.0574,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,larva,0.0637,29.6918,8.766,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,pupa,0.0836,30.6414,8.8934,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,all,0.0316,29.9478,8.599,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchioro and Foerster 2011,Lepidoptera,Yponomeutidae,Plutella,xylostella,eggs,0.39e-01,29.52,9.38,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchioro and Foerster 2011,Lepidoptera,Yponomeutidae,Plutella,xylostella,larva,1.41e-01,26.68,6.45,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchioro and Foerster 2011,Lepidoptera,Yponomeutidae,Plutella,xylostella,pupa,2.81e-01,31.28,1.73,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchioro and Foerster 2011,Lepidoptera,Yponomeutidae,Plutella,xylostella,all,0.78e-01,26.76,6.14,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
